Text,Language
Felis cumpleaño,Papiamento
"Modi bu sta?, Kuma ku bu sta?",Cape Verdean Creole
Bu cre dança ku mi?,Cape Verdean Creole
"Well, Jah know, dat basket end up inna di hands of Pharaoh’s daughter, who take pity pon di baby and adopt him",Jamaican Creole
Felis cumpleaño,Papiamento
"When shi come back a yaad, shi would teach di young people dem at UWI bout Jamaican folklore and drama. ",Jamaican Creole
"Shi get more famous cuz di people dem luv har, dem big har up wid har own radio show: Miss Lou’s Views.",Jamaican Creole
Mehora pronto,Papiamento
"Koman ou rele?,Ki jan ou rele?",Haitian Creole
Giras bilong en i waitpela tru,Tok Pisin
Mi a go a di market.,Jamaican Creole
"Moses grow up inna di palace, but him always know say him a Hebrew",Jamaican Creole
Nem bilong mi,Tok Pisin
D'xá-m' s'segód'!,Cape Verdean Creole
Nhu ten ki bon.,Cape Verdean Creole
"After di ten plague dem, Pharaoh finally let di people dem go, but him change him mind and send him army after dem.",Jamaican Creole
Dje serka ei sklabitut ta di nos? E buki aki ta skibí pa yuda nos komprondé nos historia di sklabitut mas mihó. ,Papiamento
"Skrebe-l, pur favor",Cape Verdean Creole
Rele la polis!,Haitian Creole
Felisitasyon!,Haitian Creole
Mwen sonje w,Haitian Creole
Tingim bagarap bai kamap sapos ol manmeri olsem Vladimir Putin bilong Rasia o Kim Jong-un bilong Not Korea i yusim dispela teknoloji long helpim ol kantri bilong ol long mekim bikpela wok bilong 'cyber-spionage'.,Tok Pisin
" Mi ting yet olsem nambawan samting yumi ken bungim em i wanpela 'analog' we i stret moa. Na sapos yumi mas painim wanpela analog insait long wanpela 'literary unit' we i stap pinis, mi laik kamapim dispela paragraf. ",Tok Pisin
Chobble nuh nice.” “Yuh inna big chobble.,Jamaican Creole
Onè Respè!,Haitian Creole
Pase yon bònn jounen,Haitian Creole
Dja N perde avion/konboiu,Cape Verdean Creole
Mwen renmen w,Haitian Creole
"Tout moun fèt lib, egal ego pou diyite kou wè dwa. Nou gen la rezon ak la konsyans epi nou fèt pou nou aji youn ak yon lespri fwatènite.",Haitian Creole
Ta fest ti koku,Cape Verdean Creole
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
"Alla da Jamaican inna Canada bring patwa wid dem an talk it at home an at school an everywhere into di meltin pot., When Miss Lou said “Colonization in Reverse,” dis can also reffa to di patwa of fus an secon generation Jamaicans dat is di “Toronto slang” chat by all kinda people inna Toronto.",Jamaican Creole
Na rausim olgeta samting nogut long mipela,Tok Pisin
mi laik go long Airport,Tok Pisin
" Mi ta kere ainda ku e mihó ku nos por rekohé ta un análogo mas adekuá. I si nos mester haña un análogo den un unidat literario eksistente, mi ta proponé e paragraf. ",Papiamento
"When shi duh dis, everybody laugh. Miss Lou show us what is di language and culcha of di people, an what is di colonized language. As mi mudda explain",Jamaican Creole
Li ap mache.,Haitian Creole
Boas Festas,Cape Verdean Creole
Anchante,Haitian Creole
"Modi bu sta?, Kuma ku bu sta?",Cape Verdean Creole
"Li pap tounen. Non, se vre, pa gen lespwa.",Haitian Creole
" (Ating Twain i bilip olsem wok bilong raitim pas, insait long wanpela gutpela wol, i nidim tu tingting gut. Tasol em i no bin yusim email.) Las wik mi painim mi yet i putim 4-pela konjunksen",Tok Pisin
Dixâ-m' em pás!,Cape Verdean Creole
"Si yo pa travay tè a, sa k ap rive?",Haitian Creole
Bikpela samting tru: Wanem samting tru yumi raitim taim yumi raitim olgeta dispela samting? Mi no inap giaman long kamapim wanpela nupela tok hia;,Tok Pisin
"Even doe dem caana wi an wi haffi use di Queen English fi step up ina life, Miss Lou bring pride an dignity to all a wi an mek wi luv wi culcha.",Jamaican Creole
Eske ou vle danse?,Haitian Creole
Nem bilong mi,Tok Pisin
Sa fè lontan,Haitian Creole
Sa fè lontan,Haitian Creole
Bon dia,Cape Verdean Creole
em hamas?,Tok Pisin
Yon jou se moun ki ka mouri tou. Depi lontan lontan lapli pa tonbe.,Haitian Creole
Kum ta?,Cape Verdean Creole
Mi likim yu.,Tok Pisin
"Skrebe-l, pur favor",Cape Verdean Creole
Mehora pronto,Papiamento
"Purba pone algun prosa riba pantaya, sinembargo, i nan ta meskla nan mes basta lihé. ",Papiamento
Ou ka pale dousman souple?,Haitian Creole
"plis, inap ya halivim mi wantaim dispela samting?",Tok Pisin
Mobeta long ritim olsem Hemingway nogut winim Faulkner nogut.,Tok Pisin
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
Ou ka pale dousman souple?,Haitian Creole
Erez anivèsè,Haitian Creole
She tell di pickney dem Anansi stories an sing an dance an dem luv it. Dis was my muddas first time wid Miss Lou. ,Jamaican Creole
Candela!,Papiamento
Dis was a time when everybody si success an steppin up inna life as talkin like di Queen of England. Miss Lou dared to big up all tings Jamaican.,Jamaican Creole
"Moses grow up inna di palace, but him always know say him a Hebrew",Jamaican Creole
Bikpela hamamas blong dispela Krismas go long yu Meri Krismas,Tok Pisin
D'xá-m' s'segód'!,Cape Verdean Creole
"Wha gawn bad a maanin, cyaan kum gud a evelin.",Jamaican Creole
Fi sure wi wear patwa wid suh much pride dat it bleed inna other culcha. ,Jamaican Creole
Erez anivèsè,Haitian Creole
Da-n lisensa,Cape Verdean Creole
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
"Absalom! Absalom!, mi minim wanpela paragraf we i paul, i no stret, na i tantanim, samting olsem namba wan draf bilong Kerouac bilong On the Road - ol i bin pasim wantaim long ol 'bytes' tasol. Na 1 pesen em i gutpela.",Tok Pisin
Di way shi chat di patwa wid respectability mek har an expert til Bajan poet Kamau Braithwaite call it a “nation language.” ,Jamaican Creole
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
Kiko ta pasa?,Papiamento
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
"Moses spend forty years leading di people dem through di wilderness, and even though him never reach di Promised Land himself, him set di foundation fi di Hebrew people dem fi years to come.",Jamaican Creole
Algin li ta papia inglés?,Cape Verdean Creole
Mas importante: Kiko eksaktamente nos ta skirbiendo ora nos ta hasiendo tur e skirbimentu aki? Mi no ta bai pretendé di inventá un término kompletamente nobo aki; ,Papiamento
"I no long taim i go pinis, mi luksave olsem ol sentens bilong mi i save go het taim mi raitim ol long skrin. Dispela i go long raitim planti samting na tu long raitim ol pas.",Tok Pisin
E ta bon.,Papiamento
"Di way shi use di patwa wid pride an bragadoshiousness an di tings in a it like immigration, status, uppitiness, stushness, and folk antics (like di Ashanti trickster spida “Anansi always in a har stories) set up tings fi dub poetry and reggae music fi buss out wid di people. ",Jamaican Creole
Mi deh,Jamaican Creole
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
Ti manham,Cape Verdean Creole
Mehora pronto,Papiamento
Se bato mwen ki flote sou dlo a ki te ranpli avèk èèl,Haitian Creole
Bu sabi ki óra autokaru ta txiga?,Cape Verdean Creole
Sa fè lontan,Haitian Creole
Esaki tin hopi di haber ku e limitashonnan di tempu ku nos ta pretendé di sinti den e era digital.,Papiamento
Meri i gat liklik sipsip,Tok Pisin
"Divès lyen ki konekte Ayiti ak Louisiana an tèm de kilti gastronomik, langaj, achitekti, relijyon, ak mizik pèsiste jodi a.",Haitian Creole
Mi go long market.,Tok Pisin
"Rait bilong mipela oltaim i stat long pilim olsem wanpela dijitel paragraf we i no inap pinis. I no wanpela tait, strongpela paragraf bilong The Sun Also Rises o wanpela naispela, sampela taim-slinking, sampela taim-soaring paragraf bilong",Tok Pisin
Bònn jounen,Haitian Creole
Pronto recuperacion,Papiamento
Patin bianda,Cape Verdean Creole
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
Dje serka ei sklabitut ta di nos? E buki aki ta skibí pa yuda nos komprondé nos historia di sklabitut mas mihó. ,Papiamento
Yon sèl lang se janm ase,Haitian Creole
Ale vou zan!,Haitian Creole
"Papa bilong mipela, yu stap long heven.",Tok Pisin
"But Miss Lou neva stap, and Brathwaite seh “the hurricane does not roar in pentameter” – wi kno fi sure dat di English of Shakespeare caan match di true vibe of di Caribbean people.",Jamaican Creole
Yon sèl lang se janm ase,Haitian Creole
Bònn jounen,Haitian Creole
"Moses lead di Hebrew people dem to Mount Sinai, where Jah give him di Ten Commandments and all di laws dem fi live by",Jamaican Creole
Mi ta gusta ku bo.,Papiamento
Sapos Meri i go wokabaut,Tok Pisin
Inna di morrows,Jamaican Creole
"Papa bilong mipela, yu stap long heven.",Tok Pisin
"N´ka kré más, obrigado(a)",Cape Verdean Creole
Ti manham,Cape Verdean Creole
"Strongim mipela long bihainim laik bilong yu long graun, olsem ol i bihainim long heven.",Tok Pisin
"Di way shi use di patwa wid pride an bragadoshiousness an di tings in a it like immigration, status, uppitiness, stushness, and folk antics (like di Ashanti trickster spida “Anansi always in a har stories) set up tings fi dub poetry and reggae music fi buss out wid di people. ",Jamaican Creole
Ki non w?,Haitian Creole
Anchante,Haitian Creole
Yu save?,Tok Pisin
Giras bilong en i waitpela tru,Tok Pisin
Nos ta bai.,Cape Verdean Creole
Mi deh,Jamaican Creole
Dispela man bai i bekim pe long olgeta samting,Tok Pisin
mi orait tasol,Tok Pisin
A demen ,Haitian Creole
Nou nan yon ti bouk pa twò lwen Pòtoprens. Bouk sa a rele Fonwouj. Li gen yon pwoblèm ki gwo anpil anpil: pa gen dlo. ,Haitian Creole
Esaki tin hopi di haber ku e limitashonnan di tempu ku nos ta pretendé di sinti den e era digital.,Papiamento
Modi bu sta?,Cape Verdean Creole
"Absalom! Absalom!, mi minim wanpela paragraf we i paul, i no stret, na i tantanim, samting olsem namba wan draf bilong Kerouac bilong On the Road - ol i bin pasim wantaim long ol 'bytes' tasol. Na 1 pesen em i gutpela.",Tok Pisin
Yu whosait?,Tok Pisin
"Delira: “Pa pale konsa. Se pa byen, non. Deja nou pa gen lespwa.",Haitian Creole
"Koman ou rele?,Ki jan ou rele?",Haitian Creole
Moki bu tchoma?,Cape Verdean Creole
Se youn plaisir fè konesans ou!,Haitian Creole
Consensa,Cape Verdean Creole
Patin bianda,Cape Verdean Creole
Sapos Meri i go wokabaut,Tok Pisin
Yuh know how fi chat Patwah,Jamaican Creole
Yu save?,Tok Pisin
"All a dem perform in patwa an talk bout di struggle of di people, fi sure poets and artiste like Bob Marley, Linton Kwesi Johnson, and Mutabaruka owe har nuff respeck.",Jamaican Creole
"So, one time long long ago, di Hebrew people dem did ah suffer inna Egypt under di Pharaoh. One day, a likkle baby boy named Moses born, but Pharaoh did want to kill all di baby boy dem, so Moses’ madda put him inna basket and float him down di river",Jamaican Creole
E personahenan di e 5 muhénan i nan shonnan ta kompletamente fiktivo. Na Boneiru tabatin un katibu muhé Mimina ku a hui bai,Papiamento
Ki non ou?,Haitian Creole
N’ka persibi (or) N’ka intindi,Cape Verdean Creole
E personahenan di e 5 muhénan i nan shonnan ta kompletamente fiktivo. Na Boneiru tabatin un katibu muhé Mimina ku a hui bai,Papiamento
"But Pharaoh say no, so Jah send down some big big plague dem fi force Pharaoh fi let di people dem go.",Jamaican Creole
Kel é seu nome?,Cape Verdean Creole
 Di way how she tek pride inna wi culcha and chat di patwa mek di whole a wi feel good. Pon toppa dat she inspire a whole heap a Jamaican artists to buss out with boasiness.,Jamaican Creole
Nogat. Mi siutim koronas,Tok Pisin
Da-n lisensa,Cape Verdean Creole
Onè Respè!,Haitian Creole
Bikpela samting tru: Wanem samting tru yumi raitim taim yumi raitim olgeta dispela samting? Mi no inap giaman long kamapim wanpela nupela tok hia;,Tok Pisin
Mwen sonje w,Haitian Creole
kuida mata i kushiná kuminda krioyo.,Papiamento
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
Kel é seu nome?,Cape Verdean Creole
Ki te'm anrepo'm!,Haitian Creole
Cuanto esaki ta costa?,Papiamento
Mi ta gusta ku bo.,Papiamento
Dixâ-m' em pás!,Cape Verdean Creole
Di chuck want tree new tyres.,Jamaican Creole
N’ka persibi (or) N’ka intindi,Cape Verdean Creole
Modi bu sta?,Cape Verdean Creole
Felisitasyon!,Haitian Creole
"Bon, we-olsem laki bai i stap!-i kamap olsem wanpela Japanese Buddhist festival, na i no, olsem mi bin mekim pastaim i tok strong taim em i putim ol 'tiles' long bod ",Tok Pisin
Ta fest ti koku,Cape Verdean Creole
Mi a go bak a wuk pan Chewsday.,Jamaican Creole
Ti manham,Cape Verdean Creole
"Purba pone algun prosa riba pantaya, sinembargo, i nan ta meskla nan mes basta lihé. ",Papiamento
"Di way shi talk wid di children, an nuh tap wear di traditional Jamaican bandana dress, and di uppity weh shi chat patwa wid pride, even when di stush people dem try tu put har dung inspire di yute dem tu walk wid pride in demself.",Jamaican Creole
Algin li ta papia inglés?,Cape Verdean Creole
Olá,Cape Verdean Creole
"Devan yon ti kay pay gen de vye granmoun ki chita: yon nèg ki rele Byenneme, ak Delira, madanm li.",Haitian Creole
Na rausim olgeta samting nogut long mipela,Tok Pisin
Dis was a time when everybody si success an steppin up inna life as talkin like di Queen of England. Miss Lou dared to big up all tings Jamaican.,Jamaican Creole
N’ka persibi (or) N’ka intindi,Cape Verdean Creole
Da-n lisensa,Cape Verdean Creole
"Even doe dem caana wi an wi haffi use di Queen English fi step up ina life, Miss Lou bring pride an dignity to all a wi an mek wi luv wi culcha.",Jamaican Creole
Moki bu tchoma?,Cape Verdean Creole
Nos ta bai.,Cape Verdean Creole
"Devan yon ti kay pay gen de vye granmoun ki chita: yon nèg ki rele Byenneme, ak Delira, madanm li.",Haitian Creole
Bon dia,Cape Verdean Creole
Sante!,Haitian Creole
Pasin bilong ol 'catfisher' na 'dikteta' long paulim tingting bilong ol manmeri em i samting nogut tru. ,Tok Pisin
Mi go long market.,Tok Pisin
Wanem nem bilong yu?,Tok Pisin
Sa a bon.,Haitian Creole
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
" (Ating Twain i bilip olsem wok bilong raitim pas, insait long wanpela gutpela wol, i nidim tu tingting gut. Tasol em i no bin yusim email.) Las wik mi painim mi yet i putim 4-pela konjunksen",Tok Pisin
Bilong me hangamapim bot stap pulap maleo,Tok Pisin
Likkle bit from dat shi get a show call Ring Ding pon di TV. ,Jamaican Creole
"So, Moses haffi run weh from Egypt and go live inna di wilderness.",Jamaican Creole
Chobble nuh nice.” “Yuh inna big chobble.,Jamaican Creole
inap yu kam wantaim mi?,Tok Pisin
" Mi ta kere ainda ku e mihó ku nos por rekohé ta un análogo mas adekuá. I si nos mester haña un análogo den un unidat literario eksistente, mi ta proponé e paragraf. ",Papiamento
Ti manham,Cape Verdean Creole
"Oh wate wate wate wate… You know dis ting a appen too offen yunnuh… somebody a seh “yOuR hAnD”. Its not your hand, its yuh han! Nuh pwoil up di culcha!”",Jamaican Creole
Patin bianda,Cape Verdean Creole
Mas importante: Kiko eksaktamente nos ta skirbiendo ora nos ta hasiendo tur e skirbimentu aki? Mi no ta bai pretendé di inventá un término kompletamente nobo aki; ,Papiamento
"Oh wate wate wate wate… You know dis ting a appen too offen yunnuh… somebody a seh “yOuR hAnD”. Its not your hand, its yuh han! Nuh pwoil up di culcha!”",Jamaican Creole
" Mipela i bihainim tingting bilong yusim sotpela, moa gutpela tok na i no longpela na i no gat bikpela pe, laspela pilai bilong mipela em ",Tok Pisin
Yu whosait?,Tok Pisin
Modi bu sta?,Cape Verdean Creole
"Pa gen dlo menm menm. Plant ap mouri, bèt ap mouri.",Haitian Creole
Ochan!,Haitian Creole
Olá,Cape Verdean Creole
Mi deh,Jamaican Creole
" Mi mudda tell mi dat as a likkle girl how powaful it was fi si Miss Lou pon TV a chat patwa.Baan in 1919, Miss Lou tek up writin poetry from shi a likkle pickney. ",Jamaican Creole
A demen ,Haitian Creole
Sapos Meri i go wokabaut,Tok Pisin
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
Yu whosait?,Tok Pisin
Nhu ten ki bon.,Cape Verdean Creole
Kum ta?,Cape Verdean Creole
Nhu ten ki bon.,Cape Verdean Creole
Epi ki sa Delira reponn li?,Haitian Creole
"Nau yet, ol 'virtual companions' na 'AI sexbots' i stap olsem wanpela liklik maket tru winim sosel midia, wantaim planti milion yusa na i no planti bilien.",Tok Pisin
Pase yon bònn jounen,Haitian Creole
"Rait bilong mipela oltaim i stat long pilim olsem wanpela dijitel paragraf we i no inap pinis. I no wanpela tait, strongpela paragraf bilong The Sun Also Rises o wanpela naispela, sampela taim-slinking, sampela taim-soaring paragraf bilong",Tok Pisin
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
Bu sabi ki óra autokaru ta txiga?,Cape Verdean Creole
Na rausim olgeta samting nogut long mipela,Tok Pisin
Dispela man bai i bekim pe long olgeta samting,Tok Pisin
Se youn plaisir fè konesans ou!,Haitian Creole
Likkle bit from dat shi get a show call Ring Ding pon di TV. ,Jamaican Creole
Kuma ku bu nome?,Cape Verdean Creole
" Mipela i bihainim tingting bilong yusim sotpela, moa gutpela tok na i no longpela na i no gat bikpela pe, laspela pilai bilong mipela em ",Tok Pisin
N a wè pi ta,Haitian Creole
"Oh wate wate wate wate… You know dis ting a appen too offen yunnuh… somebody a seh “yOuR hAnD”. Its not your hand, its yuh han! Nuh pwoil up di culcha!”",Jamaican Creole
Good frien’ betta dan packet money,Jamaican Creole
Inna di morrows,Jamaican Creole
E meneer lo paga pa tur cos,Papiamento
Mi hovercraft ta yen di conglá,Papiamento
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
Ale vou zan!,Haitian Creole
"Wanpela wik i go pinis wanpela pren i bin singautim tupela arapela marit long kam kaikai. Bihain, ol i rausim kaikai (tasol i no wain) long tebol bilong wanem samting i kamap olsem wanpela strongpela Scrabbling.",Tok Pisin
Nem bilong mi,Tok Pisin
em hamas?,Tok Pisin
"Nos skirbimentu konstante a kuminsá sinti manera un paragraf digital sin fin. No un paragraf stret i hinkadó di The Sun Also Rises òf asta un paragraf grasioso, tin bia ta slip, tin bia ta bula di Absalom! Absalom!",Papiamento
mi orait tasol,Tok Pisin
"Koman ou rele?,Ki jan ou rele?",Haitian Creole
Patin bianda,Cape Verdean Creole
Mi deh,Jamaican Creole
Modi bu sta?,Cape Verdean Creole
Adye,Haitian Creole
Yuh done know.,Jamaican Creole
Good frien’ betta dan packet money,Jamaican Creole
Ki bagay yo te plante sou tè a?,Haitian Creole
Dat a mi bredda,Jamaican Creole
Mi go long market.,Tok Pisin
Porfabor,Papiamento
Fi sure wi wear patwa wid suh much pride dat it bleed inna other culcha. ,Jamaican Creole
Dje serka ei sklabitut ta di nos? E buki aki ta skibí pa yuda nos komprondé nos historia di sklabitut mas mihó. ,Papiamento
Dis was a time when everybody si success an steppin up inna life as talkin like di Queen of England. Miss Lou dared to big up all tings Jamaican.,Jamaican Creole
" Di colonizers put dung di patwa – dem neva like di patwa at all, an neva seet as respectable. ",Jamaican Creole
A fe mi cyar,Jamaican Creole
"Alla da Jamaican inna Canada bring patwa wid dem an talk it at home an at school an everywhere into di meltin pot., When Miss Lou said “Colonization in Reverse,” dis can also reffa to di patwa of fus an secon generation Jamaicans dat is di “Toronto slang” chat by all kinda people inna Toronto.",Jamaican Creole
Di chuck want tree new tyres.,Jamaican Creole
Jwaye Nowèl,Haitian Creole
Modi bu sta?,Cape Verdean Creole
Sambai long mipela long taim bilong traim. ,Tok Pisin
" Di colonizers put dung di patwa – dem neva like di patwa at all, an neva seet as respectable. ",Jamaican Creole
Mi a go bak a wuk pan Chewsday.,Jamaican Creole
D'xá-m' s'segód'!,Cape Verdean Creole
"Delira: “Pa pale konsa. Se pa byen, non. Deja nou pa gen lespwa.",Haitian Creole
Yu whosait?,Tok Pisin
Erez anivèsè,Haitian Creole
Pasin bilong ol 'catfisher' na 'dikteta' long paulim tingting bilong ol manmeri em i samting nogut tru. ,Tok Pisin
Ta fest ti koku,Cape Verdean Creole
Yama polis!,Papiamento
N´kré kumi cachupa,Cape Verdean Creole
"Di way shi use di patwa wid pride an bragadoshiousness an di tings in a it like immigration, status, uppitiness, stushness, and folk antics (like di Ashanti trickster spida “Anansi always in a har stories) set up tings fi dub poetry and reggae music fi buss out wid di people. ",Jamaican Creole
Ti manham,Cape Verdean Creole
Esta su wela o bisa wela mester,Papiamento
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
E ta bon.,Papiamento
mi orait tasol,Tok Pisin
"When you see Miss Lou pon TV, sometimes shi start tings off vibin wid di audience, getting dem tu sing along: ",Jamaican Creole
Na rausim olgeta samting nogut long mipela,Tok Pisin
lait malolo liklik,Tok Pisin
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
Nha nomi e ...,Cape Verdean Creole
Li ap mache.,Haitian Creole
"Oh wate wate wate wate… You know dis ting a appen too offen yunnuh… somebody a seh “yOuR hAnD”. Its not your hand, its yuh han! Nuh pwoil up di culcha!”",Jamaican Creole
Anmwe!,Haitian Creole
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
em hamas?,Tok Pisin
Mwen renmen ou.,Haitian Creole
Byenneme: “Zafè nou pa bon. Tout bagay ap mouri. Bondye bliye nou nèt.”,Haitian Creole
Mi nuh si dem.,Jamaican Creole
"Nau yet, ol 'virtual companions' na 'AI sexbots' i stap olsem wanpela liklik maket tru winim sosel midia, wantaim planti milion yusa na i no planti bilien.",Tok Pisin
Kel é seu nome?,Cape Verdean Creole
sori nogut,Tok Pisin
Algin li ta papia inglés?,Cape Verdean Creole
Yu save?,Tok Pisin
Modi bu sta?,Cape Verdean Creole
Anchante,Haitian Creole
Kuma ku bu nome?,Cape Verdean Creole
"Jamaicans at home and Black people all ova di worl ave to code switch, leave di language and dem tru vibe when dem seekin success.",Jamaican Creole
Porfabor,Papiamento
Patin bianda,Cape Verdean Creole
Modi bu sta?,Cape Verdean Creole
Dixâ-m' em pás!,Cape Verdean Creole
"Tout moun fèt lib, egal ego pou diyite kou wè dwa. Nou gen la rezon ak la konsyans epi nou fèt pou nou aji youn ak yon lespri fwatènite.",Haitian Creole
"While him a live out deh, Moses see a burning bush, but di bush nah burn up! Jah tell Moses fi go back to Egypt and tell Pharaoh fi let di Hebrew people dem go.",Jamaican Creole
M'kontan fè konesans ou,Haitian Creole
Yama polis!,Papiamento
Mwen sonje w,Haitian Creole
Kijan ou ye?,Haitian Creole
"I no long taim i go pinis, mi luksave olsem ol sentens bilong mi i save go het taim mi raitim ol long skrin. Dispela i go long raitim planti samting na tu long raitim ol pas.",Tok Pisin
Mwen pa komprann,Haitian Creole
Inna di morrows,Jamaican Creole
Un lenguage nunka ta sufisiente,Papiamento
N a wè pi ta,Haitian Creole
Mi ta gusta ku bo.,Papiamento
"mi ke men un paragraf konvolushoná, aleatorio, ku ta serka, algu manera Kerouac su konsepto original di On the Road–solamente grabá huntu pa byte. I 1 porshento mes interesante.",Papiamento
Mi likim yu.,Tok Pisin
Mwen renmen ou.,Haitian Creole
"kompletamente n'e pa su amor p'ami. El a siña mi kon ta mata galiña,",Papiamento
Dje serka ei sklabitut ta di nos? E buki aki ta skibí pa yuda nos komprondé nos historia di sklabitut mas mihó. ,Papiamento
Mi nuh si dem.,Jamaican Creole
Mi cyan ‘elp yuh wit dat problem.,Jamaican Creole
inap yu kam wantaim mi?,Tok Pisin
Felis cumpleaño,Papiamento
"Strongim mipela long bihainim laik bilong yu long graun, olsem ol i bihainim long heven.",Tok Pisin
Bo lo kier baila cumi? ,Papiamento
N´kré kumi cachupa,Cape Verdean Creole
Dis a di best.,Jamaican Creole
Ou konprann?,Haitian Creole
Wanem nem bilong yu?,Tok Pisin
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
"plis, inap ya halivim mi wantaim dispela samting?",Tok Pisin
Cuanto esaki ta costa?,Papiamento
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
Yu whosait?,Tok Pisin
Nou pral ale.,Haitian Creole
Kijan ou ye?,Haitian Creole
A fe mi cyar,Jamaican Creole
Dje serka ei sklabitut ta di nos? E buki aki ta skibí pa yuda nos komprondé nos historia di sklabitut mas mihó. ,Papiamento
kuida mata i kushiná kuminda krioyo.,Papiamento
Sa fe lon temps nou pa we,Haitian Creole
Yama polis!,Papiamento
" Mipela i bihainim tingting bilong yusim sotpela, moa gutpela tok na i no longpela na i no gat bikpela pe, laspela pilai bilong mipela em ",Tok Pisin
N’ka persibi (or) N’ka intindi,Cape Verdean Creole
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
"Papa bilong mipela, yu stap long heven.",Tok Pisin
A fe mi cyar,Jamaican Creole
Di chuck want tree new tyres.,Jamaican Creole
Bilong me hangamapim bot stap pulap maleo,Tok Pisin
Un idioma nunka ta sufisiente,Papiamento
Wanem nem bilong yu?,Tok Pisin
"Fram reggae tu dub poetry tu pride in a wi culcha, nationality, and dialek, whole eep a ting bout wi Jamaican culcha wi owe nuff respek to one oman.",Jamaican Creole
Un idioma nunka ta sufisiente,Papiamento
" (Ating Twain i bilip olsem wok bilong raitim pas, insait long wanpela gutpela wol, i nidim tu tingting gut. Tasol em i no bin yusim email.) Las wik mi painim mi yet i putim 4-pela konjunksen",Tok Pisin
" I think that is the root of the pride that we have in Miss Lou and in ourselves. We saw ourselves reflected in her, and in a way that was very dignified and uniquely Jamaican.",Jamaican Creole
Yudami!,Papiamento
"Moses spend forty years leading di people dem through di wilderness, and even though him never reach di Promised Land himself, him set di foundation fi di Hebrew people dem fi years to come.",Jamaican Creole
E meneer lo paga pa tur cos,Papiamento
"Di way shi talk wid di children, an nuh tap wear di traditional Jamaican bandana dress, and di uppity weh shi chat patwa wid pride, even when di stush people dem try tu put har dung inspire di yute dem tu walk wid pride in demself.",Jamaican Creole
"mi ke men un paragraf konvolushoná, aleatorio, ku ta serka, algu manera Kerouac su konsepto original di On the Road–solamente grabá huntu pa byte. I 1 porshento mes interesante.",Papiamento
Ki bagay yo te plante sou tè a?,Haitian Creole
Boas Festas,Cape Verdean Creole
Ta un plaser di conocebo,Papiamento
Babay,Haitian Creole
Nha nomi e ...,Cape Verdean Creole
Pase yon bònn jounen,Haitian Creole
